"avrid","avpathid","avobsdate","avobstime","avobserverid","avtype","avtriggertyp","avtrigger","avrelativesize","avdestructivesize","avinterface","sz_vert","sz_horiz","sz_avgslope","sz_elev_m","sz_aspect","term_elev_m","av_vert_m","crown_width_m","ch_max_cm","ch_min_cm","ch_diff_cm","term_longpath","term_shortPath","term_detail","term_moist","deb_rail","deb_rail_w","deb_rail_d","deb_hwy","deb_hwy_w","deb_hwy_d","avcomment","edcr_user","edcr_time","edcr_ip","eded_user","eded_time","eded_ip"
"85","SHED107","2008-12-29","12:25:00","stein_01","U","5","NU","R2","D1.5","U","U","U","0","0",,"0","0","0","0","0","0","TK","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path terminating above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 12:28:18","139.51.15.17"
"86","PATH1163","2008-12-29","12:25:00","stein_01","U","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 12:29:30","139.51.15.17"
"87","JAVA","2008-12-29","12:25:00","stein_01","SS",NULL,NULL,"R3",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","Java L Path",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"88","INFINITY","2008-12-29","12:25:00","stein_01","SS","5","N","R3","D3","G","T","C","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Ran 3/4 path w/ debris terminated above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 12:24:19","139.51.15.17"
"89","SHED08","2008-12-29","12:25:00","stein_01","SS","5","N","R3","D3","G","U","L","0","0","N","0","0","0","0","0","0","BR","-","U","U","1","0.0","0.0","0","0.0","0.0","8 foot crown, path filled and debris over the shed.",,"2016-03-17 11:50:56",,"Ted","2020-06-29 10:36:19","64.91.61.64"
"90","SHED07W","2008-12-29","12:25:00","stein_01","SS","5","NU","U","U","U","T","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Started around upper cliff band. Debris to Shed",,"2016-03-17 11:50:56",,"Adam","2020-05-28 12:39:01","139.51.15.17"
"91","JAVAGA","2008-12-28","10:20:00","stein_01","SS",NULL,NULL,"R2",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"92","SHED07E","2008-12-10","11:10:00","stein_01","SS","5","N","R3","D2.5","G","T","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Shed 7 E - ran to shed",,"2016-03-17 11:50:56",,"Ted","2020-05-28 12:36:24","64.91.61.64"
"93","PATH1163","2008-03-20","16:00:00","stein_01","L",NULL,NULL,"R2",NULL,NULL,"U","U","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"94","SHED11","2008-02-19","00:00:00","stein_01","L","5","NU","R1","D1.5","U","U","U","0","0",,"0","0","0","0","0","0","U","-","U","U","0","0.0","0.0","0","0.0","0.0","Loose snow avalanche... just below rock outcrop",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:16:01","64.91.61.64"
"95","PATH1163","2008-02-19","00:00:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Loose debris terminated 2/3rds path to the grade.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:21:06","64.91.61.64"
"96","INFINITY","2008-02-13","10:00:00","stein_01","WL","5","NU","R2","D2","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris  terminated 3/4 path to grade.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:34:14","64.91.61.64"
"97","SHED07","2008-02-11","00:00:00","stein_01","SS","5","N","R1","D2","U","U","U","0","0","NE","0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Released on northeasterly aspect below ridge top cornice.",,"2016-03-17 11:50:56",,"Ted","2020-06-29 10:39:07","64.91.61.64"
"98","SHED10","2008-02-10","15:10:00","stein_01","SS","5","N","R1","D1",NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0",NULL,NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","sz=feeder",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"99","JAKES","2008-02-10","00:00:00","stein_01","SS","5","N","R1","D1",NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0",NULL,NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"100","PATH1163","2008-02-05","16:00:00","stein_01","U","5","NU","U","U","U","U","R","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Avalanche type unknown.  Fresh debris below rocks on looker's right in lower path.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:20:09","64.91.61.64"
"101","INFINITY","2008-01-28","08:30:00","stein_01","U","5","N","R3","D2","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated 75' from rail.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 12:57:33","64.91.61.64"
"102","PATH1163","2008-01-21","11:30:00","stein_01","U","5","NU","R1","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris 1/2 path.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 12:55:52","64.91.61.64"
"103","INFINITY","2008-01-21","11:30:00","stein_01","U",NULL,NULL,"R1",NULL,NULL,"U","U","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"104","SHED07","2008-01-16","09:30:00","stein_01","SS","5","N","R1","D2",NULL,"M","L","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","SZ= mid-left cornice",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"105","SHED06","2008-01-06","07:30:00","stein_01","SS","5","N","R1","D1","O","U","U","0","0",,"0","0","0","0","0","0","U","-","U","U","0","0.0","0.0","0","0.0","0.0","Isolated SS releases in small open-pockets of trees and below rocks just above shed.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:13:05","64.91.61.64"
"106","SHED07W","2008-01-04","14:30:00","stein_01","SS","5","N","R1","D2",NULL,"T","L","0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0","Shed 7 W",,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"107","PATH1163","2007-12-10","11:10:00","stein_01","WL","5","NU","R1","U","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Terminated 1/2 path at nick-point ",,"2016-03-17 11:50:56",,"Ted","2020-05-28 12:47:06","64.91.61.64"
"426","UMBRELLA","2009-01-02","09:50:00","stein_01","U","5","NU","U","U","U","U","U","0","0","N","0","0","0","0","0","0","U","-","U","U","0","0.0","0.0","0","0.0","0.0","Reported. 10 feet debris on Main 1, 2 feet debris on Main 2.","Adam","2020-05-28 12:55:18","139.51.15.17","Ted","2020-06-29 11:02:18","64.91.61.64"
"109","PATH1163","2007-03-09","10:00:00","stein_01","L","5","NU","R1","U","U","T","U","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Ran 2/3 path terminating above the rail.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:36:52","139.51.15.17"
"110","PATH1163","2007-03-07","15:00:00","stein_01","L","5","NU","R1","U","U","T","U","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above the rail.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:36:10","139.51.15.17"
"111","SHED08","2007-03-07","15:00:00","stein_01","HS",NULL,NULL,NULL,NULL,NULL,NULL,"L","0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"112","BURNOUT","2007-03-07","04:30:00","stein_01","WL","5","N","R1","D1","U","U","U","0","0",,"0","0","0","0","0","0","U","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris reached the rail grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:35:18","139.51.15.17"
"113","PATH1163","2007-03-06","10:30:00","stein_01","L","5","NU","R1","U","U","T","U","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above the rail",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:34:31","139.51.15.17"
"114","PATH1163","2007-03-05","12:35:00","stein_01","L","5","NU","U","U","U","U","R","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path terminating above the rail.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:33:21","139.51.15.17"
"115","INFINITY","2007-03-05","12:35:00","stein_01","SS","5","N","R2","D2","U","T","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 3/4 path terminating above the rail.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:32:37","139.51.15.17"
"116","SHED08","2007-02-20","10:00:00","stein_01","SS","5","N","R2","D2","U","U","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris reached within 100 feet of the shed.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:29:26","139.51.15.17"
"117","PATH1163","2007-02-16","10:10:00","stein_01","L","5","N","U","U","U","U","R","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path terminating above the rail.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:27:39","139.51.15.17"
"118","JAKES","2007-02-16","10:10:00","stein_01","SS","5","N","R1","D1","U","B","R","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path terminating above the rail.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:28:15","139.51.15.17"
"119","SHED11","2007-02-07","09:30:00","stein_01","GS","5","NU","R2","D2.5","G","T","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated in bottom of run out, but still above the rail grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:26:45","139.51.15.17"
"121","SHED11","2007-01-31","10:40:00","stein_01","U",NULL,NULL,NULL,NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"122","PATH1163","2007-01-30","12:00:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","MR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3 path terminating above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:23:29","139.51.15.17"
"123","PATH1163","2007-01-26","09:00:00","stein_01","L","5","NU","U","U","U","U","R","0","0",,"0","0","0","0","0","0","TK","-","U","U","0","0.0","0.0","0","0.0","0.0",,,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:22:37","139.51.15.17"
"124","INFINITY","2007-01-26","09:00:00","stein_01","L","5","NU","R2","U","U","U","R","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 2/3rds path terminating above the grade. ",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:21:54","139.51.15.17"
"125","BURNOUT","2007-01-26","09:00:00","stein_01","L","5","NU","U","U","U","M","R","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:21:03","139.51.15.17"
"126","SHED11","2007-01-20","08:00:00","stein_01","U",NULL,NULL,NULL,NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"127","SHED11","2007-01-19","13:20:00","stein_01","U",NULL,NULL,"R3",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","U",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"128","PATH1163","2007-01-06","15:00:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris ran 1/2 path terminating above the grade.",,"2016-03-17 11:50:56",,"Adam","2020-05-28 14:18:32","139.51.15.17"
"129","PATH1163","2006-12-10","12:00:00","stein_01","WL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"130","SHED07","2006-12-10","12:00:00","stein_01","WL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","TR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"131","INFINITY","2006-02-28","10:55:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"132","SHED11","2006-02-28","10:00:00","stein_01","WS","5","N","R2",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"133","SHED10","2006-02-28","10:00:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,NULL,"L","0","0",,"0","0","0","0","0","0","TR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"134","SHED10","2006-02-28","10:00:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0",NULL,NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"135","JAKES","2006-02-28","07:30:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,"T","C","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"136","SHED11","2006-02-27","13:30:00","stein_01","L",NULL,NULL,"R3",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"137","SHED107","2006-02-27","13:30:00","stein_01","L",NULL,NULL,"R2",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"138","INFINITY","2006-02-27","12:00:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"139","PATH1163","2006-02-27","09:40:00","stein_01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"140","SHED10","2006-02-27","09:40:00","stein_01","WS","5","N","R2",NULL,NULL,"M","R","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"141","GRIZZLY","2006-02-27","09:00:00","stein_01","WS","5","N","R2",NULL,NULL,"M","C","0","0",,"0","0","0","0","0","0",NULL,NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"142","SHED07","2006-02-26","00:00:00","stein_01","SS","5","N","R2",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"143","SHED08","2006-02-25","12:55:00","stein_01","SS","1","AE","R3","D3","U","M","C","0","1870","E","1333","537","60","180","90","135","BR","-","U","D","1","20.0","0.5","0","0.0","0.0","Explosives triggered avalanche.  2006-02-25 mission. Debris ran over the shed and terminated in runout on low side of shed. RR was closed at this time and no snow entered the shed.",,"2016-03-17 11:50:56",,"Ted","2020-06-29 10:42:33","64.91.61.64"
"144","PATH1163","2006-02-25","01:10:00","stein_01","SS","1",NULL,"R3",NULL,NULL,"T","C","0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"145","PATH1163","2006-02-24","07:30:00","stein_01","SS","5","N","R2",NULL,NULL,"M",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"146","JAKES","2006-02-24","07:30:00","stein_01","SS","5","N","R2","U","U","T","U","0","0",,"0","0","0","0","0","0","BR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated mid-path",,"2016-03-17 11:50:56",,"Ted","2020-05-28 14:01:24","64.91.61.64"
"147","SHED09","2006-02-24","07:30:00","stein_01","SS","5","N","R1",NULL,NULL,"B","R","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"148","SHED08","2006-02-24","07:30:00","stein_01","SS","5","N","R1",NULL,NULL,"M","L","0","0",,"0","0","0","0","0","0","TK",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"149","INFINITY","2006-02-23","16:00:00","stein_01","SS","5","N","R3","D2",NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"150","SECOND","2006-02-14","12:00:00","stein_01","SS","5","N","R1",NULL,NULL,"T",NULL,"0","0",,"0","0","0","0","0","0","TR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"151","SHED08","2006-02-14","11:35:00","stein_01","SS","5","N","R2",NULL,NULL,"T","R","0","0",,"0","0","0","0","0","0","TR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"152","PATH1163","2006-02-14","11:30:00","stein_01","SS",NULL,NULL,"R2",NULL,NULL,"M","R","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"153","SHED10","2006-02-08","08:00:00","stein_01","WL",NULL,NULL,"R2",NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"154","PATH1163","2006-01-16","16:30:00","stein_01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"155","SHED10","2006-01-16","14:30:00","stein_01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"156","INFINITY","2006-01-16","14:30:00","stein_01","SS",NULL,NULL,"R2",NULL,NULL,"T","L","0","0",,"0","0","0","0","0","0","TR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"157","PATH1163","2006-01-14","14:30:00","stein_01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"158","SHED08","2006-01-14","14:30:00","stein_01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","MR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"159","PATH1163","2006-01-11","10:30:00","stein_01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"160","PATH1163","2006-01-10","16:30:00","stein_01","U","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","TK","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated lower-midpath",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:59:38","64.91.61.64"
"161","PATH1163","2006-01-10","14:30:00","stein_01","U","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","MR","-","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated mid-path.",,"2016-03-17 11:50:56",,"Ted","2020-05-28 13:56:45","64.91.61.64"
"162","JAKES","2006-01-10","14:30:00","stein_01","L","5","NU","U","U","U","U","U","0","0",,"0","0","0","0","0","0","MR","MP","U","U","0","0.0","0.0","0","0.0","0.0","Debris terminated mid-path",,"2016-03-17 11:50:56",,"Ted","2020-05-28 14:02:55","64.91.61.64"
"163","INFINITY","2006-01-10","14:30:00","stein_01","SS","5","N","R2","D2","U","T","R","0","0",,"0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Terminated in main-upper path",,"2016-03-17 11:50:56",,"Ted","2020-05-28 14:08:19","64.91.61.64"
"164","SHED09","2006-01-10","14:30:00","stein_01","L",NULL,NULL,NULL,NULL,NULL,"B","R","0","0",,"0","0","0","0","0","0","BR",NULL,NULL,,"0","0.0","0.0","0","0.0","0.0",NULL,,"2016-03-17 11:50:56",,NULL,"0000-00-00 00:00:00",NULL
"165","SHED11","2013-01-03","15:30:00","stein_01","L","5","NL","R1","D1.5","I","T","L","37","1863",,"1606","258","0","0","0","0","TK",,,"M","0","0.0","0.0","0","0.0","0.0","Avalanche Triggered by Loose Snow From Rock Outcrop on Lookers Left of Starting Zone.","ed","2016-03-17 11:50:56","98.125.91.144",NULL,"0000-00-00 00:00:00",NULL
"166","PATH1163","2013-01-09","09:05:00","stein_01","SS","5","NU","R1","D2","I","T","C","0","2121",,"1515","606","60","30","20","25","TK",,,"M","0","0.0","0.0","0","0.0","0.0",,"ed","2016-03-17 11:50:56","10.173.132.15",NULL,"0000-00-00 00:00:00",NULL
"167","PATH1163","2013-01-21","14:10:00","stein_01","L","5","NU","R1","D1.5","U","M","R","0","1700",,"1515","185","0","0","0","0","TK",,,"M","0","0.0","0.0","0","0.0","0.0","Occurred during Hp event and appears to be triggered by solar input.","ed","2016-03-17 11:50:56","10.173.132.15",NULL,"0000-00-00 00:00:00",NULL
"168","SHED07W","2013-01-08","13:00:00","stein_01","SS","5","N","R1","D1.5","I","T","L","37","2000",,"1697","303","0","0","0","0","TK",,,"D","0","0.0","0.0","0","0.0","0.0",,"ed","2016-03-17 11:50:56","10.173.132.15",NULL,"0000-00-00 00:00:00",NULL
"169","TestSlope2","2013-01-21","13:30:00","stein_01","SS","2","AS","R1","D1","I","T","R","0","1700","N","1640","60","30","25","10","18","U","MP","U","D","0","0.0","0.0","0","0.0","0.0","East Aspect.  Windslab deposited on previously scoured aspects- 12/25/2012.  NSF buried beneath slab.","ed","2016-03-17 11:50:56","10.173.132.15","Ted","2020-06-29 11:17:48","64.91.61.64"
"170","SHED07W","2013-03-14","13:45:00","stein_01","L","5","NU","R2","D1.5","I","T","C","34","2018","N","1758","260","0","0","0","0","TK","-","U","W","0","0.0","0.0","0","0.0","0.0","Wet~ Loose snow avalanche triggered by cornice fall... Debris terminated in upper 1/3 of 7W path.  Cornice failure and resulting loose snow avalanche did not result in initiating slab avalanche activity. ","Ted","2016-03-17 11:50:56","10.11.130.125","Ted","2020-06-29 10:29:54","64.91.61.64"
"171","PATH1163","2013-02-19","10:30:00","stein_01","SS","5",,"R1","D1.5","I","M","R","0","2000",,"1800","200","30","60","60","0","TK",,,"D","0","0.0","0.0","0","0.0","0.0","SS-N-R1D1.5-I.  Looker's right path. Ran 1/3 path to rail grade.","Ted","2016-03-17 11:50:56","10.173.132.11","ed","2019-01-02 00:00:00","server"
"172","IBEAM","2013-04-04","14:20:00","stein_01","WS","5","NL","R2","D2","O","M","L","0","1879",,"1515","364","70","120","60","90","TK",,,"W","0","0.0","0.0","0","0.0","0.0",,"Ted","2016-03-17 11:50:56","10.173.132.15",NULL,"0000-00-00 00:00:00",NULL
"173","SHED11","2013-04-03","17:00:00","stein_01","U","5","NU","R3","D2.5","G","T","C","40","1880",,"1394","486","120","120","120","120","TK",,,"W","0","0.0","0.0","0","0.0","0.0","Avalanche associated with massive glide crack failure.  Glide crack first observed 2/7/2013.  Failed between 1200 on 4/2/2013 and 1700 4/3/2013.  Debris remained confined to path and, based on five (5) collected tree disk samples, entrained vegetation up to 16 years of age. Average age was 12 years.  Terminus elevation was approximately 120 m above rail grade elevation. ","Ted","2016-03-17 11:50:56","10.173.132.15",NULL,"0000-00-00 00:00:00",NULL
